,sequence,genotype,subtype,PB2,PB1,PA,HA,NP,NA,MP,NS,constellation
14,A/Wild_bird/Korea/K22-742/2022,Genotype_I,H5N1,PB2_group10,PB1_group7,PA_group5,HA_group2,NP_group6,NA_group2,MP_group1,NS_group5,PB2_group10|PB1_group7|PA_group5|HA_group2|NP_group6|NA_group2|MP_group1|NS_group5
15,Minor46_ref,Minor46,H5N1,PB2_group11,PB1_group8,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group11|PB1_group8|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
16,Minor90_ref,Minor90,H5N1,PB2_group3,PB1_group9,PA_group6,HA_group1,NP_group4,NA_group1,MP_group1,NS_group1,PB2_group3|PB1_group9|PA_group6|HA_group1|NP_group4|NA_group1|MP_group1|NS_group1
17,A/Canada_Goose/England/142157/2023,DG_WB381,H5N1,PB2_group12,PB1_group10,PA_group7,HA_group2,NP_group5,NA_group3,MP_group1,NS_group3,PB2_group12|PB1_group10|PA_group7|HA_group2|NP_group5|NA_group3|MP_group1|NS_group3
18,A/chicken/England/152082/2022,CP_AIV204,H5N1,PB2_group8,PB1_group11,PA_group3,HA_group2,NP_group5,NA_group2,MP_group1,NS_group3,PB2_group8|PB1_group11|PA_group3|HA_group2|NP_group5|NA_group2|MP_group1|NS_group3
19,A5_ref,A5,H5N1,PB2_group1,PB1_group1,PA_group2,HA_group2,NP_group1,NA_group1,MP_group1,NS_group3,PB2_group1|PB1_group1|PA_group2|HA_group2|NP_group1|NA_group1|MP_group1|NS_group3
20,Minor36_ref,Minor36,H5N1,PB2_group7,PB1_group12,PA_group8,HA_group1,NP_group3,NA_group4,MP_group1,NS_group1,PB2_group7|PB1_group12|PA_group8|HA_group1|NP_group3|NA_group4|MP_group1|NS_group1
21,B3.13_ref,B3.13,H5N1,PB2_group2,PB1_group4,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group2|PB1_group4|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
22,A/mandarin_duck/Korea/WA585/2021,G07,H5N1,PB2_group13,PB1_group13,PA_group9,HA_group3,NP_group7,NA_group5,MP_group1,NS_group6,PB2_group13|PB1_group13|PA_group9|HA_group3|NP_group7|NA_group5|MP_group1|NS_group6
24,A/mallard/22P019377/France/2022,G34,H5N1,PB2_group14,PB1_group1,PA_group10,HA_group1,NP_group8,NA_group2,MP_group1,NS_group6,PB2_group14|PB1_group1|PA_group10|HA_group1|NP_group8|NA_group2|MP_group1|NS_group6
25,Minor74_ref,Minor74,H5N1,PB2_group15,PB1_group4,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group15|PB1_group4|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
26,A/Black-headed_gull/Netherlands/4/2023,CT,H5N1,PB2_group8,PB1_group14,PA_group10,HA_group2,NP_group9,NA_group2,MP_group1,NS_group7,PB2_group8|PB1_group14|PA_group10|HA_group2|NP_group9|NA_group2|MP_group1|NS_group7
27,Minor11_ref,Minor11,H5N1,PB2_group9,PB1_group1,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group1,PB2_group9|PB1_group1|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group1
28,Minor09_ref,Minor09,H5N1,PB2_group1,PB1_group1,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group1,PB2_group1|PB1_group1|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group1
29,Minor39_ref,Minor39,H5N1,PB2_group16,PB1_group3,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group16|PB1_group3|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
30,A/Chicken/Scotland/114160/2023,DE_AIV50,H5N1,PB2_group17,PB1_group15,PA_group3,HA_group2,NP_group10,NA_group6,MP_group1,NS_group8,PB2_group17|PB1_group15|PA_group3|HA_group2|NP_group10|NA_group6|MP_group1|NS_group8
31,Minor14_ref,Minor14,H5N1,PB2_group9,PB1_group9,PA_group11,HA_group1,NP_group11,NA_group1,MP_group1,NS_group4,PB2_group9|PB1_group9|PA_group11|HA_group1|NP_group11|NA_group1|MP_group1|NS_group4
32,B3.8_ref,B3.8,H5N1,PB2_group18,PB1_group4,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group18|PB1_group4|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
33,A/chicken/Italy/21VIR10352/2021,G12,H5N1,PB2_group13,PB1_group16,PA_group12,HA_group1,NP_group12,NA_group1,MP_group1,NS_group1,PB2_group13|PB1_group16|PA_group12|HA_group1|NP_group12|NA_group1|MP_group1|NS_group1
34,A1_ref,A1,H5N1,PB2_group1,PB1_group1,PA_group2,HA_group1,NP_group1,NA_group1,MP_group1,NS_group1,PB2_group1|PB1_group1|PA_group2|HA_group1|NP_group1|NA_group1|MP_group1|NS_group1
35,B3.6_ref,B3.6,H5N1,PB2_group18,PB1_group4,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group18|PB1_group4|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
36,Minor55_ref,Minor55,H5N1,PB2_group18,PB1_group17,PA_group2,HA_group1,NP_group13,NA_group1,MP_group1,NS_group2,PB2_group18|PB1_group17|PA_group2|HA_group1|NP_group13|NA_group1|MP_group1|NS_group2
37,Minor17_ref,Minor17,H5N1,PB2_group19,PB1_group1,PA_group2,HA_group1,NP_group1,NA_group1,MP_group1,NS_group1,PB2_group19|PB1_group1|PA_group2|HA_group1|NP_group1|NA_group1|MP_group1|NS_group1
38,Minor40_ref,Minor40,H5N1,PB2_group7,PB1_group18,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group4,PB2_group7|PB1_group18|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group4
39,A/turkey/Tyumen/15-14V/2021,G03,H5N1,HA_group1,Absent,Absent,Absent,Absent,Absent,Absent,Absent,HA_group1|Absent|Absent|Absent|Absent|Absent|Absent|Absent
40,Minor60_ref,Minor60,H5N1,PB2_group4,PB1_group4,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group4|PB1_group4|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
41,Minor25_ref,Minor25,H5N1,PB2_group7,PB1_group2,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group4,PB2_group7|PB1_group2|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group4
42,A/Greylag_goose/England/054503/2021,C_AIV07-B2a,H5N1,PB2_group1,PB1_group1,PA_group2,HA_group1,NP_group1,NA_group1,MP_group1,NS_group1,PB2_group1|PB1_group1|PA_group2|HA_group1|NP_group1|NA_group1|MP_group1|NS_group1
43,B3.7_ref,B3.7,H5N1,PB2_group2,PB1_group4,PA_group2,HA_group1,NP_group15,NA_group1,MP_group1,NS_group2,PB2_group2|PB1_group4|PA_group2|HA_group1|NP_group15|NA_group1|MP_group1|NS_group2
44,Minor38_ref,Minor38,H5N1,PB2_group15,PB1_group20,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group15|PB1_group20|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
45,Minor52_ref,Minor52,H5N1,PB2_group2,PB1_group4,PA_group14,HA_group1,NP_group15,NA_group1,MP_group1,NS_group2,PB2_group2|PB1_group4|PA_group14|HA_group1|NP_group15|NA_group1|MP_group1|NS_group2
46,Minor51_ref,Minor51,H5N1,PB2_group18,PB1_group20,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group18|PB1_group20|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
47,A/turkey/England/057679/2021,AL_AIV07-B2b,H5N1,PB2_group1,PB1_group1,PA_group2,HA_group1,NP_group7,NA_group2,MP_group1,NS_group3,PB2_group1|PB1_group1|PA_group2|HA_group1|NP_group7|NA_group2|MP_group1|NS_group3
48,A/Eurasian_Wigeon/Netherlands/3/2022,CH,H5N1,PB2_group8,PB1_group1,PA_group3,HA_group1,NP_group10,NA_group2,MP_group1,NS_group3,PB2_group8|PB1_group1|PA_group3|HA_group1|NP_group10|NA_group2|MP_group1|NS_group3
49,Minor67_ref,Minor67,H5N1,PB2_group21,PB1_group21,PA_group14,HA_group1,NP_group16,NA_group1,MP_group1,NS_group1,PB2_group21|PB1_group21|PA_group14|HA_group1|NP_group16|NA_group1|MP_group1|NS_group1
50,C1.1_ref,C1.1,H5N1,PB2_group1,PB1_group12,PA_group2,HA_group1,NP_group1,NA_group1,MP_group1,NS_group1,PB2_group1|PB1_group12|PA_group2|HA_group1|NP_group1|NA_group1|MP_group1|NS_group1
51,A/chicken/Italy/IZSLT-122448_21VIR9218-1/2021,AF_G08,H5N1,PB2_group22,PB1_group22,PA_group15,HA_group1,NP_group17,NA_group1,MP_group1,NS_group10,PB2_group22|PB1_group22|PA_group15|HA_group1|NP_group17|NA_group1|MP_group1|NS_group10
52,B1.2_ref,B1.2,H5N1,PB2_group23,PB1_group2,PA_group14,HA_group1,NP_group3,NA_group1,MP_group1,NS_group1,PB2_group23|PB1_group2|PA_group14|HA_group1|NP_group3|NA_group1|MP_group1|NS_group1
53,A/bald_eagle/Georgia/W22-194A/2022,G23,H5N1,PB2_group23,PB1_group2,PA_group2,HA_group1,NP_group3,NA_group8,MP_group1,NS_group1,PB2_group23|PB1_group2|PA_group2|HA_group1|NP_group3|NA_group8|MP_group1|NS_group1
54,Minor32_ref,Minor32,H5N1,PB2_group4,PB1_group23,PA_group2,HA_group1,NP_group15,NA_group1,MP_group1,NS_group2,PB2_group4|PB1_group23|PA_group2|HA_group1|NP_group15|NA_group1|MP_group1|NS_group2
55,Minor53_ref,Minor53,H5N1,PB2_group2,PB1_group4,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group2|PB1_group4|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
56,A/swan/Romania/10455_22VIR2749-4/2022,G19,H5N1,PB2_group13,PB1_group24,PA_group2,HA_group1,NP_group1,NA_group1,MP_group1,NS_group6,PB2_group13|PB1_group24|PA_group2|HA_group1|NP_group1|NA_group1|MP_group1|NS_group6
57,Minor56_ref,Minor56,H5N1,PB2_group24,PB1_group9,PA_group2,HA_group1,NP_group3,NA_group9,MP_group1,NS_group11,PB2_group24|PB1_group9|PA_group2|HA_group1|NP_group3|NA_group9|MP_group1|NS_group11
58,Minor48_ref,Minor48,H5N1,PB2_group7,PB1_group12,PA_group8,HA_group1,NP_group3,NA_group1,MP_group1,NS_group12,PB2_group7|PB1_group12|PA_group8|HA_group1|NP_group3|NA_group1|MP_group1|NS_group12
59,B1.1_ref,B1.1,H5N1,PB2_group23,PB1_group2,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group1,PB2_group23|PB1_group2|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group1
60,A/Mallard/Netherlands/18/2022,CA,H5N1,PB2_group8,PB1_group1,PA_group3,HA_group1,NP_group18,NA_group1,MP_group3,NS_group1,PB2_group8|PB1_group1|PA_group3|HA_group1|NP_group18|NA_group1|MP_group3|NS_group1
61,Minor19_ref,Minor19,H5N1,PB2_group7,PB1_group3,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group1,PB2_group7|PB1_group3|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group1
62,B1.3_ref,B1.3,H5N1,PB2_group7,PB1_group12,PA_group8,HA_group1,NP_group3,NA_group1,MP_group1,NS_group1,PB2_group7|PB1_group12|PA_group8|HA_group1|NP_group3|NA_group1|MP_group1|NS_group1
63,Minor18_ref,Minor18,H5N1,PB2_group25,PB1_group9,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group4,PB2_group25|PB1_group9|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group4
64,A/mallard/Italy/22VIR9762-1/2022_,CF,H5N1,PB2_group8,PB1_group1,PA_group3,HA_group1,NP_group19,NA_group1,MP_group1,NS_group3,PB2_group8|PB1_group1|PA_group3|HA_group1|NP_group19|NA_group1|MP_group1|NS_group3
65,Minor01_ref,Minor01,H5N1,PB2_group23,PB1_group1,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group1,PB2_group23|PB1_group1|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group1
66,A/chicken/Tyumen/47-66V/2021,G17,H5N1,HA_group1,Absent,Absent,Absent,Absent,Absent,Absent,Absent,HA_group1|Absent|Absent|Absent|Absent|Absent|Absent|Absent
68,A/turkey/South_Dakota/22-008239-001-original/2022,G29,H5N1,PB2_group1,PB1_group1,PA_group2,HA_group1,NP_group3,NA_group2,MP_group1,NS_group1,PB2_group1|PB1_group1|PA_group2|HA_group1|NP_group3|NA_group2|MP_group1|NS_group1
69,A/flamingo/Italy/22VIR11494-1/2022_,CG,H5N1,PB2_group13,PB1_group1,PA_group3,HA_group1,NP_group10,NA_group1,MP_group1,NS_group3,PB2_group13|PB1_group1|PA_group3|HA_group1|NP_group10|NA_group1|MP_group1|NS_group3
70,Minor81_ref,Minor81,H5N1,PB2_group3,PB1_group8,PA_group2,HA_group1,NP_group16,NA_group1,MP_group1,NS_group1,PB2_group3|PB1_group8|PA_group2|HA_group1|NP_group16|NA_group1|MP_group1|NS_group1
71,A/duck/Bangladesh/19D1818/2021,G14,H5N1,PB2_group27,PB1_group1,PA_group2,HA_group1,NP_group1,NA_group2,MP_group1,NS_group3,PB2_group27|PB1_group1|PA_group2|HA_group1|NP_group1|NA_group2|MP_group1|NS_group3
72,A/Great_black-backed_Gull/Netherlands/3/2022,G28,H5N1,PB2_group8,PB1_group1,PA_group17,HA_group1,NP_group5,NA_group1,MP_group1,NS_group1,PB2_group8|PB1_group1|PA_group17|HA_group1|NP_group5|NA_group1|MP_group1|NS_group1
73,Minor43_ref,Minor43,H5N1,PB2_group7,PB1_group1,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group7|PB1_group1|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
74,A/peregrine_falcon/Ireland/000191_22VIR1325-15/2022,G16,H5N1,PB2_group1,PB1_group1,PA_group2,HA_group1,NP_group21,NA_group1,MP_group1,NS_group1,PB2_group1|PB1_group1|PA_group2|HA_group1|NP_group21|NA_group1|MP_group1|NS_group1
75,A/mallard/New_York/22-008760-007-original/2022,G31,H5N1,PB2_group9,PB1_group9,PA_group11,HA_group4,NP_group11,NA_group2,MP_group1,NS_group4,PB2_group9|PB1_group9|PA_group11|HA_group4|NP_group11|NA_group2|MP_group1|NS_group4
76,B3.2_ref,B3.2,H5N1,PB2_group4,PB1_group3,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group4|PB1_group3|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
77,A/American_pelican/Kansas/W22-200/2022,G25,H5N1,PB2_group28,PB1_group26,PA_group2,HA_group1,NP_group22,NA_group2,MP_group1,NS_group1,PB2_group28|PB1_group26|PA_group2|HA_group1|NP_group22|NA_group2|MP_group1|NS_group1
78,Minor30_ref,Minor30,H5N1,PB2_group7,PB1_group3,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group7|PB1_group3|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
79,Minor58_ref,Minor58,H5N1,PB2_group18,PB1_group4,PA_group2,HA_group1,NP_group23,NA_group1,MP_group1,NS_group2,PB2_group18|PB1_group4|PA_group2|HA_group1|NP_group23|NA_group1|MP_group1|NS_group2
80,Minor12_ref,Minor12,H5N1,PB2_group1,PB1_group1,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group1,PB2_group1|PB1_group1|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group1
81,Minor04_ref,Minor04,H5N1,PB2_group1,PB1_group1,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group1,PB2_group1|PB1_group1|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group1
82,Minor73_ref,Minor73,H5N1,PB2_group29,PB1_group4,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group29|PB1_group4|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
83,Minor26_ref,Minor26,H5N1,PB2_group7,PB1_group3,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group1,PB2_group7|PB1_group3|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group1
84,Minor77_ref,Minor77,H5N1,PB2_group6,PB1_group1,PA_group2,HA_group1,NP_group1,NA_group1,MP_group1,NS_group1,PB2_group6|PB1_group1|PA_group2|HA_group1|NP_group1|NA_group1|MP_group1|NS_group1
85,A/Eurasian_Wigeon/Netherlands/6/2022,CJ,H5N1,PB2_group30,PB1_group22,PA_group18,HA_group2,NP_group24,NA_group11,MP_group5,NS_group1,PB2_group30|PB1_group22|PA_group18|HA_group2|NP_group24|NA_group11|MP_group5|NS_group1
86,B3.5_ref,B3.5,H5N1,PB2_group31,PB1_group3,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group31|PB1_group3|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
87,A/duck/Hubei/S4465/2021(H5N1),G09,H5N1,PB2_group32,PB1_group27,PA_group19,HA_group5,NP_group25,NA_group12,MP_group1,NS_group14,PB2_group32|PB1_group27|PA_group19|HA_group5|NP_group25|NA_group12|MP_group1|NS_group14
88,Minor28_ref,Minor28,H5N1,PB2_group23,PB1_group3,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group4,PB2_group23|PB1_group3|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group4
89,Minor66_ref,Minor66,H5N1,PB2_group1,PB1_group17,PA_group2,HA_group1,NP_group13,NA_group1,MP_group1,NS_group4,PB2_group1|PB1_group17|PA_group2|HA_group1|NP_group13|NA_group1|MP_group1|NS_group4
90,Minor70_ref,Minor70,H5N1,PB2_group18,PB1_group12,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group18|PB1_group12|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
91,A4_ref,A4,H5N1,PB2_group13,PB1_group13,PA_group9,HA_group3,NP_group7,NA_group5,MP_group6,NS_group6,PB2_group13|PB1_group13|PA_group9|HA_group3|NP_group7|NA_group5|MP_group6|NS_group6
92,A/Chicken/England/005435/2024,DL_AIV01,H5N1,PB2_group8,PB1_group10,PA_group20,HA_group6,NP_group26,NA_group3,MP_group1,NS_group3,PB2_group8|PB1_group10|PA_group20|HA_group6|NP_group26|NA_group3|MP_group1|NS_group3
93,A/Greylag_goose/England/032698/2020,A_H5N8,H5N8,PB2_group32,PB1_group28,PA_group19,HA_group1,NP_group27,NA_group13,MP_group1,NS_group14,PB2_group32|PB1_group28|PA_group19|HA_group1|NP_group27|NA_group13|MP_group1|NS_group14
94,A/chicken/England/069816/2021,AA_AIV55,H5N1,PB2_group1,PB1_group1,PA_group2,HA_group1,NP_group10,NA_group1,MP_group1,NS_group1,PB2_group1|PB1_group1|PA_group2|HA_group1|NP_group10|NA_group1|MP_group1|NS_group1
95,A/brent_goose/England/095684/2020,D_H5N5.1,H5N5,PB2_group32,PB1_group28,PA_group19,HA_group1,NP_group27,NA_group13,MP_group1,NS_group14,PB2_group32|PB1_group28|PA_group19|HA_group1|NP_group27|NA_group13|MP_group1|NS_group14
96,A/waterfowl/Nebraska/22-007805-002-original/2022,G26,H5N1,PB2_group7,PB1_group1,PA_group2,HA_group1,NP_group3,NA_group2,MP_group1,NS_group1,PB2_group7|PB1_group1|PA_group2|HA_group1|NP_group3|NA_group2|MP_group1|NS_group1
97,Minor75_ref,Minor75,H5N1,PB2_group3,PB1_group4,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group3|PB1_group4|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
98,A/turkey/South_Dakota/22-008242-001-original/2022,G27,H5N1,PB2_group4,PB1_group1,PA_group2,HA_group1,NP_group3,NA_group8,MP_group1,NS_group1,PB2_group4|PB1_group1|PA_group2|HA_group1|NP_group3|NA_group8|MP_group1|NS_group1
99,Minor62_ref,Minor62,H5N1,PB2_group21,PB1_group4,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group21|PB1_group4|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
100,Minor47_ref,Minor47,H5N1,PB2_group33,PB1_group3,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group33|PB1_group3|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
101,A/duck/France/22P020165/2022,G35,H5N1,PB2_group8,PB1_group29,PA_group21,HA_group2,NP_group28,NA_group2,MP_group1,NS_group1,PB2_group8|PB1_group29|PA_group21|HA_group2|NP_group28|NA_group2|MP_group1|NS_group1
102,Minor83_ref,Minor83,H5N1,PB2_group18,PB1_group30,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group18|PB1_group30|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
103,Minor71_ref,Minor71,H5N1,PB2_group18,PB1_group31,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group18|PB1_group31|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
104,Minor61_ref,Minor61,H5N1,PB2_group23,PB1_group32,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group23|PB1_group32|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
105,A/bald_eagle/Florida/W22-189/2022,G24,H5N1,PB2_group34,PB1_group33,PA_group22,HA_group1,NP_group29,NA_group1,MP_group1,NS_group1,PB2_group34|PB1_group33|PA_group22|HA_group1|NP_group29|NA_group1|MP_group1|NS_group1
106,A/chicken/Czech_Republic/3306-2/2022,G20,H5N1,PB2_group8,PB1_group1,PA_group21,HA_group1,NP_group8,NA_group1,MP_group1,NS_group6,PB2_group8|PB1_group1|PA_group21|HA_group1|NP_group8|NA_group1|MP_group1|NS_group6
107,A/goose/France/21P014207/2021,G15,H5N1,PB2_group22,PB1_group1,PA_group2,HA_group1,NP_group30,NA_group1,MP_group1,NS_group1,PB2_group22|PB1_group1|PA_group2|HA_group1|NP_group30|NA_group1|MP_group1|NS_group1
108,A/bald_eagle/Florida/W22-195/2022,G22,H5N1,PB2_group23,PB1_group2,PA_group14,HA_group1,NP_group3,NA_group1,MP_group1,NS_group1,PB2_group23|PB1_group2|PA_group14|HA_group1|NP_group3|NA_group1|MP_group1|NS_group1
109,A/chicken/England/118935/2022,CQ_AIV73,H5N1,PB2_group8,PB1_group1,PA_group3,HA_group1,NP_group8,NA_group6,MP_group1,NS_group1,PB2_group8|PB1_group1|PA_group3|HA_group1|NP_group8|NA_group6|MP_group1|NS_group1
110,Minor07_ref,Minor07,H5N1,PB2_group4,PB1_group1,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group4|PB1_group1|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
111,A/Great_Cormorant/Netherlands/1/2022,CI,H5N1,PB2_group35,PB1_group1,PA_group23,HA_group1,NP_group5,NA_group2,MP_group1,NS_group3,PB2_group35|PB1_group1|PA_group23|HA_group1|NP_group5|NA_group2|MP_group1|NS_group3
112,A/chicken/Scotland/054477/2021,AB_AIV09,H5N1,PB2_group8,PB1_group1,PA_group3,HA_group1,NP_group5,NA_group1,MP_group1,NS_group1,PB2_group8|PB1_group1|PA_group3|HA_group1|NP_group5|NA_group1|MP_group1|NS_group1
